0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;pickFirst
3;Symbol;Data;sendToSink
4;Symbol;Data;testArrayFlow
5;Symbol;Data;_globals
6;Return;Control;Return
7;Start;Control;Start
8;Literal;Data;"""user_input"""
9;Return;Control;Return
10;Start;Control;Start
11;Parameter;Data;0
12;Literal;Data;0
13;Load;Compound;Load
14;Return;Control;Return
15;Start;Control;Start
16;Parameter;Data;0
17;Parameter;Data;1
18;Symbol;Data;console
19;Symbol;Data;log
20;Load;Compound;Load
21;Literal;Data;"""sink:"""
22;Call;Compound;Call
23;Return;Control;Return
24;Start;Control;Start
25;Allocation;Compound;Allocation
26;Literal;Data;"""value"""
27;Call;Compound;Call
28;Store;Control;Store
29;Symbol;Data;Array
30;Symbol;Data;value
31;Load;Compound;Load
32;Literal;Data;"""string"""
33;Allocation;Compound;Allocation
34;Call;Compound;Call
35;Symbol;Data;value
36;Load;Compound;Load
37;Call;Compound;Call
38;Return;Control;Return
