0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;sendToSink
3;Symbol;Data;testArrayPush
4;Symbol;Data;_globals
5;Return;Control;Return
6;Start;Control;Start
7;Literal;Data;"""user_input"""
8;Return;Control;Return
9;Start;Control;Start
10;Parameter;Data;0
11;Parameter;Data;1
12;Return;Control;Return
13;Start;Control;Start
14;Symbol;Data;Array
15;Allocation;Compound;Allocation
16;Symbol;Data;push
17;Load;Compound;Load
18;Call;Compound;Call
19;Call;Compound;Call
20;Literal;Data;0
21;Load;Compound;Load
22;Literal;Data;"""array-push"""
23;Call;Compound;Call
24;Return;Control;Return
