0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;formatValue
3;Symbol;Data;sendToSink
4;Symbol;Data;testFlow
5;Symbol;Data;_globals
6;Return;Control;Return
7;Start;Control;Start
8;Literal;Data;"""user_input"""
9;Return;Control;Return
10;Start;Control;Start
11;Parameter;Data;0
12;Literal;Data;"""formatted_"""
13;BinaryOperation;Data;+
14;Return;Control;Return
15;Start;Control;Start
16;Parameter;Data;0
17;Parameter;Data;1
18;Symbol;Data;console
19;Symbol;Data;log
20;Load;Compound;Load
21;Literal;Data;"""Sink called:"""
22;Call;Compound;Call
23;Return;Control;Return
24;Start;Control;Start
25;Call;Compound;Call
26;Call;Compound;Call
27;Call;Compound;Call
28;Return;Control;Return
