0;5;Control;next
1;6;Association;start
2;9;Association;start
2;10;Association;0
2;11;Association;1
3;18;Association;start
6;8;Control;next
8;7;Data;value
9;14;Control;next
14;16;Control;next
14;12;Data;object
14;13;Data;property
16;17;Control;next
16;14;Data;callee
16;15;Data;0
16;10;Data;1
16;11;Data;2
18;19;Control;next
19;22;Control;next
19;1;Data;callee
22;24;Control;next
22;19;Data;object
22;21;Data;property
23;22;Data;left
23;20;Data;right
24;23;Data;condition
24;28;Control;true
24;30;Control;false
26;27;Control;next
26;2;Data;callee
26;19;Data;0
26;25;Data;1
27;26;Data;value
28;26;Control;next
29;32;Control;next
30;31;Control;next
31;32;Control;next
32;33;Control;next
32;24;Association;branch
