0;6;Control;next
1;7;Association;start
2;10;Association;start
2;11;Association;0
3;27;Association;start
3;28;Association;0
3;29;Association;1
4;36;Association;start
7;9;Control;next
9;8;Data;value
10;13;Control;next
13;15;Control;next
13;11;Data;object
13;12;Data;property
15;16;Control;next
15;13;Data;callee
15;14;Data;0
16;15;Data;condition
16;19;Control;true
16;22;Control;false
18;17;Data;left
18;11;Data;right
19;20;Control;next
20;24;Control;next
22;23;Control;next
23;24;Control;next
24;26;Control;next
24;16;Association;branch
25;18;Data;20
25;21;Data;23
25;24;Association;merge
26;25;Data;value
27;32;Control;next
32;34;Control;next
32;30;Data;object
32;31;Data;property
34;35;Control;next
34;32;Data;callee
34;33;Data;0
34;28;Data;1
34;29;Data;2
36;37;Control;next
37;38;Control;next
37;1;Data;callee
38;40;Control;next
38;2;Data;callee
38;37;Data;0
40;41;Control;next
40;3;Data;callee
40;38;Data;0
40;39;Data;1
