0;Start;Control;Start
1;Symbol;Data;getUserInput
2;Symbol;Data;getUserInput2
3;Symbol;Data;sendToSink
4;Symbol;Data;sendToSink2
5;Symbol;Data;wrap
6;Symbol;Data;pickFirst
7;Symbol;Data;maybeTransform
8;Symbol;Data;testMegaFlow
9;Symbol;Data;_globals
10;Return;Control;Return
11;Start;Control;Start
12;Literal;Data;"""user_input"""
13;Return;Control;Return
14;Start;Control;Start
15;Literal;Data;"""user_input"""
16;Return;Control;Return
17;Start;Control;Start
18;Parameter;Data;0
19;Parameter;Data;1
20;Symbol;Data;console
21;Symbol;Data;log
22;Load;Compound;Load
23;Literal;Data;"""sink:"""
24;Call;Compound;Call
25;Return;Control;Return
26;Start;Control;Start
27;Parameter;Data;0
28;Parameter;Data;1
29;Symbol;Data;log
30;Load;Compound;Load
31;Literal;Data;"""sink:"""
32;Call;Compound;Call
33;Return;Control;Return
34;Start;Control;Start
35;Parameter;Data;0
36;Allocation;Compound;Allocation
37;Literal;Data;"""value"""
38;Store;Control;Store
39;Return;Control;Return
40;Start;Control;Start
41;Parameter;Data;0
42;Literal;Data;0
43;Load;Compound;Load
44;Return;Control;Return
45;Start;Control;Start
46;Parameter;Data;0
47;Symbol;Data;includes
48;Load;Compound;Load
49;Literal;Data;"""x"""
50;Call;Compound;Call
51;Branch;Control;Branch
52;Literal;Data;"""x_"""
53;BinaryOperation;Data;+
54;BlockStart;Control;BlockStart
55;BlockEnd;Control;BlockEnd
56;BlockStart;Control;BlockStart
57;BlockEnd;Control;BlockEnd
58;Merge;Control;Merge
59;Phi;Data;Phi
60;Return;Control;Return
61;Start;Control;Start
62;Call;Compound;Call
63;Call;Compound;Call
64;Literal;Data;"""_mutated"""
65;Symbol;Data;value
66;Load;Compound;Load
67;BinaryOperation;Data;+
68;Symbol;Data;value
69;Store;Control;Store
70;Symbol;Data;Array
71;Symbol;Data;value
72;Load;Compound;Load
73;Literal;Data;"""static"""
74;Allocation;Compound;Allocation
75;Call;Compound;Call
76;Literal;Data;"""safe"""
77;Allocation;Compound;Allocation
78;Symbol;Data;push
79;Load;Compound;Load
80;Call;Compound;Call
81;Call;Compound;Call
82;Call;Compound;Call
83;Call;Compound;Call
84;Literal;Data;"""_extended"""
85;BinaryOperation;Data;+
86;Symbol;Data;map
87;Load;Compound;Load
88;Symbol;Data;_anonymous1472
89;Call;Compound;Call
90;Literal;Data;0
91;Load;Compound;Load
92;Literal;Data;1
93;Load;Compound;Load
94;Call;Compound;Call
95;Call;Compound;Call
96;Call;Compound;Call
97;Call;Compound;Call
98;Call;Compound;Call
99;Return;Control;Return
100;Start;Control;Start
101;Parameter;Data;0
102;Literal;Data;"""_mapped"""
103;BinaryOperation;Data;+
104;Return;Control;Return
